idx,id,lon,lat
373,1180,29.0337450641918,40.98892580317
374,1181,29.0337173920226,40.988025546113
375,1182,29.0336897211065,40.9871252888996
376,1183,29.0336620514434,40.9862250315297
377,1184,29.0336343830332,40.9853247740034
378,1185,29.0336067158759,40.9844245163206
379,1186,29.0335790499715,40.9835242584813
380,1187,29.0335506677602,40.982625977742
381,1188,29.0333669996564,40.9818083357388
382,1197,29.0337708846682,40.973522392219
383,1198,29.0337708005774,40.9727477669012
384,1199,29.0335030606721,40.9716945156286
385,1200,29.0334720082593,40.9709099908182
386,1201,29.0332341452281,40.9699612232437
387,1202,29.0331365658309,40.9691201117764
388,1203,29.0331089212145,40.9682198512777
389,1204,29.0331549824591,40.9673683270276
390,1205,29.0333942051003,40.9666635628904
391,1226,29.0361924196963,41.0118663710085
392,1227,29.0357431592334,41.0113227231673
393,1228,29.0355980488093,41.010510934957
394,1229,29.0355703303907,41.0096106823173
395,1230,29.0355426132275,41.008710429521
396,1231,29.0355148973196,41.0078101765682
397,1232,29.0354871826669,41.0069099234589
398,1233,29.0354594692694,41.0060096701931
399,1234,29.035431757127,41.0051094167707
400,1235,29.0354040462397,41.0042091631919
401,1236,29.0353763366073,41.0033089094566
402,1237,29.0353486282298,41.0024086555647
403,1238,29.0353209211072,41.0015084015164
404,1239,29.0352932152393,41.0006081473115
405,1240,29.0352655106261,40.9997078929502
406,1241,29.0352378072676,40.9988076384323
407,1242,29.0352101051637,40.997907383758
408,1243,29.0351824043143,40.9970071289271
409,1244,29.0351547047194,40.9961068739398
410,1245,29.0351270063788,40.995206618796
411,1246,29.0350993092926,40.9943063634957
412,1247,29.0350716134606,40.9934061080389
413,1248,29.0350439188829,40.9925058524255
414,1249,29.0350162255592,40.9916055966558
415,1250,29.0349885334897,40.9907053407295
416,1251,29.0349608426741,40.9898050846467
417,1252,29.0349331531125,40.9889048284075
418,1253,29.0349054648047,40.9880045720118
419,1254,29.0348777777508,40.9871043154596
420,1255,29.0348500919505,40.9862040587509
421,1256,29.034822407404,40.9853038018858
422,1257,29.0347947241111,40.9844035448642
423,1258,29.0347670420717,40.9835032876861
424,1259,29.0347393612859,40.9826030303515
425,1260,29.0348417620884,40.9817663879854
426,1261,29.0351924184952,40.9811743091916
427,1266,29.0349803768851,40.9762939707269
428,1267,29.0350857447906,40.9757700991512
429,1268,29.0343950315508,40.9740849423564
430,1269,29.0341593369873,40.9738413443255
431,1270,29.0338844055536,40.9726450327611
432,1271,29.0338910964369,40.9717841527953
433,1272,29.0343423743222,40.9707788219671
434,1273,29.0343519618632,40.9699994112388
435,1274,29.0343242998719,40.9690991515574
436,1275,29.034296639133,40.9681988917195
437,1276,29.0342689796464,40.9672986317251
438,1277,29.0341840191704,40.9666542470922
439,1298,29.0369875849656,41.0120173972432
440,1299,29.0368142598495,41.0113901838953
441,1300,29.0367865240188,41.0104899320742
442,1301,29.0367587894442,41.0095896800965
443,1302,29.0367310561257,41.0086894279622
444,1303,29.0367033240633,41.0077891756714
445,1304,29.0366755932568,41.0068889232242
446,1305,29.0366478637062,41.0059886706203
447,1306,29.0366201354114,41.00508841786
448,1307,29.0365924083724,41.0041881649431
449,1308,29.0365646825891,41.0032879118697
450,1309,29.0365369580615,41.0023876586398
451,1310,29.0365092347894,41.0014874052533
452,1311,29.0364815127728,41.0005871517104
453,1312,29.0364537920117,40.9996868980109
454,1313,29.036426072506,40.9987866441549
455,1314,29.0363983542555,40.9978863901424
456,1315,29.0363706372603,40.9969861359734
457,1316,29.0363429215203,40.9960858816478
458,1317,29.0363152070355,40.9951856271658
459,1318,29.0362874938056,40.9942853725272
460,1319,29.0362597818308,40.9933851177322
461,1320,29.0362320711109,40.9924848627806
462,1321,29.0362043616459,40.9915846076725
