Run_ID,Seed,K,Population_Size,Archive_Size,Max_Generations,Crossover_Rate,Mutation_Rate,Total_Evaluations,Final_HV,Final_HV_Ratio,Final_ND_Count,Final_Best_F1,Final_Best_F2,Runtime_ms
105,7,5,50,25,202,0.70,0.40,15200,1.209277,0.999403,20,0.917982,0.372797,6304
106,42,5,50,25,202,0.90,0.05,15200,1.209027,0.999196,15,0.952748,0.413746,5748
107,123,5,50,25,202,0.90,0.05,15200,1.208956,0.999137,14,0.998210,0.382964,5766
108,7,5,50,25,202,0.90,0.05,15200,1.209204,0.999342,14,0.935743,0.407457,5819
109,42,5,50,25,202,0.90,0.10,15200,1.209035,0.999203,18,0.945277,0.361859,5917
110,123,5,50,25,202,0.90,0.10,15200,1.209180,0.999323,25,0.915701,0.406530,5947
111,7,5,50,25,202,0.90,0.10,15200,1.208689,0.998916,9,0.960401,0.401042,5861
112,42,5,50,25,202,0.90,0.20,15200,1.209151,0.999299,17,0.896580,0.375229,6063
113,123,5,50,25,202,0.90,0.20,15200,1.208526,0.998782,12,0.881340,0.360804,6118
114,7,5,50,25,202,0.90,0.20,15200,1.209901,0.999918,10,0.909320,0.393095,6034
115,42,5,50,25,202,0.90,0.30,15200,1.209148,0.999296,25,0.884906,0.384591,6241
116,123,5,50,25,202,0.90,0.30,15200,1.208770,0.998984,22,0.920937,0.383269,6174
117,7,5,50,25,202,0.90,0.30,15200,1.209513,0.999597,11,0.929373,0.398942,6181
118,42,5,50,25,202,0.90,0.40,15200,1.209390,0.999496,20,0.909217,0.372899,6365
119,123,5,50,25,202,0.90,0.40,15200,1.208810,0.999016,25,0.921998,0.375617,6338
120,7,5,50,25,202,0.90,0.40,15200,1.209117,0.999270,25,0.883783,0.356127,6354
121,42,5,100,50,100,0.70,0.05,15100,1.209077,0.999238,25,0.948833,0.451657,5823
122,123,5,100,50,100,0.70,0.05,15100,1.209803,0.999837,23,0.907251,0.449771,5842
123,7,5,100,50,100,0.70,0.05,15100,1.208840,0.999042,8,0.921413,0.388085,5815
124,42,5,100,50,100,0.70,0.10,15100,1.208154,0.998475,12,0.948192,0.398209,5925
125,123,5,100,50,100,0.70,0.10,15100,1.208321,0.998613,9,0.918310,0.340972,5932
126,7,5,100,50,100,0.70,0.10,15100,1.209209,0.999346,20,0.896795,0.393881,5965
127,42,5,100,50,100,0.70,0.20,15100,1.209585,0.999657,13,0.911842,0.389106,6172
128,123,5,100,50,100,0.70,0.20,15100,1.209069,0.999230,24,0.891351,0.337491,6432
129,7,5,100,50,100,0.70,0.20,15100,1.209659,0.999718,14,0.925399,0.427194,6356
130,42,5,100,50,100,0.70,0.30,15100,1.209593,0.999664,13,0.935742,0.381273,6740
131,123,5,100,50,100,0.70,0.30,15100,1.209176,0.999319,18,0.894766,0.380634,6627
132,7,5,100,50,100,0.70,0.30,15100,1.208705,0.998930,16,0.920868,0.354021,6474
133,42,5,100,50,100,0.70,0.40,15100,1.209166,0.999311,14,0.892540,0.376089,6612
134,123,5,100,50,100,0.70,0.40,15100,1.209649,0.999710,28,0.915348,0.359854,6613
135,7,5,100,50,100,0.70,0.40,15100,1.208736,0.998956,19,0.907251,0.375408,6662
136,42,5,100,50,100,0.90,0.05,15100,1.209483,0.999573,10,0.953526,0.402822,5988
137,123,5,100,50,100,0.90,0.05,15100,1.209437,0.999535,6,0.951943,0.399705,6004
138,7,5,100,50,100,0.90,0.05,15100,1.208305,0.998599,28,0.908801,0.395505,5968
139,42,5,100,50,100,0.90,0.10,15100,1.209933,0.999944,9,0.939454,0.408509,6098
140,123,5,100,50,100,0.90,0.10,15100,1.208301,0.998596,22,0.924892,0.340578,6094
141,7,5,100,50,100,0.90,0.10,15100,1.209344,0.999458,13,0.916842,0.377270,6187
142,42,5,100,50,100,0.90,0.20,15100,1.209322,0.999440,27,0.898283,0.376937,6348
143,123,5,100,50,100,0.90,0.20,15100,1.209364,0.999475,11,0.918999,0.387768,7229
144,7,5,100,50,100,0.90,0.20,15100,1.209126,0.999277,28,0.900940,0.362417,7350
145,42,5,100,50,100,0.90,0.30,15100,1.209253,0.999382,27,0.917829,0.380240,6709
146,123,5,100,50,100,0.90,0.30,15100,1.209446,0.999542,12,0.919378,0.370676,6675
147,7,5,100,50,100,0.90,0.30,15100,1.209466,0.999559,19,0.926410,0.405911,6444
148,42,5,100,50,100,0.90,0.40,15100,1.209435,0.999533,14,0.902184,0.360056,6542
149,123,5,100,50,100,0.90,0.40,15100,1.209148,0.999296,21,0.913018,0.382624,6539
150,7,5,100,50,100,0.90,0.40,15100,1.209267,0.999394,18,0.918989,0.372390,6607
151,42,5,200,100,50,0.70,0.05,15200,1.209159,0.999305,13,0.908934,0.376262,6413
152,123,5,200,100,50,0.70,0.05,15200,1.209022,0.999192,10,0.922796,0.396145,6290
153,7,5,200,100,50,0.70,0.05,15200,1.209166,0.999311,14,0.937067,0.399548,6309
154,42,5,200,100,50,0.70,0.10,15200,1.208998,0.999172,13,0.884533,0.376276,6485
155,123,5,200,100,50,0.70,0.10,15200,1.209205,0.999343,10,0.945050,0.398265,6392
156,7,5,200,100,50,0.70,0.10,15200,1.209746,0.999790,11,0.938214,0.416367,6325
157,42,5,200,100,50,0.70,0.20,15200,1.209627,0.999692,10,0.911394,0.387738,6603
158,123,5,200,100,50,0.70,0.20,15200,1.209553,0.999631,17,0.915466,0.394991,6808
159,7,5,200,100,50,0.70,0.20,15200,1.208605,0.998847,20,0.913439,0.355372,6698
160,42,5,200,100,50,0.70,0.30,15200,1.209005,0.999177,26,0.917677,0.366072,6929
161,123,5,200,100,50,0.70,0.30,15200,1.209163,0.999308,22,0.936803,0.386672,6773
162,7,5,200,100,50,0.70,0.30,15200,1.209046,0.999211,15,0.905918,0.401557,6981
163,42,5,200,100,50,0.70,0.40,15200,1.209685,0.999739,12,0.918166,0.370275,7117
164,123,5,200,100,50,0.70,0.40,15200,1.209620,0.999686,13,0.895373,0.380353,7065
165,7,5,200,100,50,0.70,0.40,15200,1.209567,0.999642,16,0.902881,0.366107,6997
166,42,5,200,100,50,0.90,0.05,15200,1.209613,0.999680,15,0.902529,0.408692,6427
167,123,5,200,100,50,0.90,0.05,15200,1.209636,0.999699,13,0.904552,0.406246,6356
168,7,5,200,100,50,0.90,0.05,15200,1.209413,0.999515,12,0.890276,0.388096,6292
169,42,5,200,100,50,0.90,0.10,15200,1.209630,0.999694,25,0.894240,0.404818,6560
170,123,5,200,100,50,0.90,0.10,15200,1.209343,0.999457,13,0.915805,0.355416,7021
171,7,5,200,100,50,0.90,0.10,15200,1.208905,0.999095,16,0.906910,0.397192,7445
172,42,5,200,100,50,0.90,0.20,15200,1.209525,0.999608,10,0.905263,0.412658,7618
173,123,5,200,100,50,0.90,0.20,15200,1.209932,0.999944,6,0.909166,0.387352,7082
174,7,5,200,100,50,0.90,0.20,15200,1.208049,0.998387,37,0.922156,0.366684,6616
175,42,5,200,100,50,0.90,0.30,15200,1.209659,0.999718,19,0.907499,0.394925,6726
176,123,5,200,100,50,0.90,0.30,15200,1.209516,0.999600,15,0.930001,0.391780,6733
177,7,5,200,100,50,0.90,0.30,15200,1.209357,0.999469,19,0.912357,0.381261,6713
178,42,5,200,100,50,0.90,0.40,15200,1.209753,0.999795,15,0.903779,0.395079,6928
179,123,5,200,100,50,0.90,0.40,15200,1.209554,0.999631,15,0.897884,0.375994,6864
180,7,5,200,100,50,0.90,0.40,15200,1.209046,0.999211,18,0.908364,0.348623,6828
181,42,7,50,25,202,0.70,0.05,15200,1.209769,0.999809,6,0.664059,0.356770,6892
182,123,7,50,25,202,0.70,0.05,15200,1.209948,0.999957,5,0.702370,0.339104,6931
183,7,7,50,25,202,0.70,0.05,15200,1.209798,0.999833,8,0.634513,0.382673,6978
184,42,7,50,25,202,0.70,0.10,15200,1.209722,0.999770,7,0.631719,0.353039,7112
185,123,7,50,25,202,0.70,0.10,15200,1.208954,0.999136,12,0.685076,0.376818,6889
186,7,7,50,25,202,0.70,0.10,15200,1.209041,0.999207,10,0.693758,0.310242,6766
187,42,7,50,25,202,0.70,0.20,15200,1.209179,0.999322,12,0.647775,0.294548,7153
188,123,7,50,25,202,0.70,0.20,15200,1.209604,0.999672,10,0.610820,0.326113,7096
189,7,7,50,25,202,0.70,0.20,15200,1.208661,0.998894,14,0.618535,0.247041,6986
190,42,7,50,25,202,0.70,0.30,15200,1.209537,0.999617,9,0.612237,0.289940,7190
191,123,7,50,25,202,0.70,0.30,15200,1.209395,0.999500,17,0.621270,0.234156,7273
192,7,7,50,25,202,0.70,0.30,15200,1.209574,0.999648,11,0.626603,0.323562,7168
193,42,7,50,25,202,0.70,0.40,15200,1.209215,0.999351,16,0.633436,0.208613,7454
194,123,7,50,25,202,0.70,0.40,15200,1.208867,0.999064,13,0.628108,0.198034,7650
195,7,7,50,25,202,0.70,0.40,15200,1.209198,0.999337,18,0.678207,0.260701,7744
196,42,7,50,25,202,0.90,0.05,15200,1.209959,0.999966,4,0.647057,0.374710,7282
