run_id,run_label,generation,stage,chromosome,f1,f2
20260419_190507_run04,run04,5,periodic_nd,1173|1853|2624|4143|4660,1.0281244178340496,0.47152060287148745
20260419_190507_run04,run04,5,periodic_nd,1173|1853|2624|4649|4660,1.135810379510465,0.466986115229544
20260419_190507_run04,run04,5,periodic_nd,1174|1911|3062|4435|4591,0.9778652647504436,0.5908195906909445
20260419_190507_run04,run04,5,periodic_nd,1173|1853|2624|4579|4660,1.1390307397273463,0.4617754558071119
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2624|4069|4660,0.9540955250010621,0.46932017369414375
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2624|4435|4660,1.0249711321730375,0.44699109971500933
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2624|4143|4660,0.9589781222374311,0.46299472757758436
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2904|4143|4660,0.9460584386232926,0.4994067831532748
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2624|4076|4660,0.99726887468412,0.44959295140200706
20260419_190507_run04,run04,10,periodic_nd,1173|2561|2904|4069|4660,0.9434564379958019,0.5064584451532534
20260419_190507_run04,run04,15,periodic_nd,1173|2561|2624|4591|4715,1.0353951499349516,0.4366134368058798
20260419_190507_run04,run04,15,periodic_nd,1173|2561|2904|4143|4591,0.9322748930232576,0.4844859587006761
20260419_190507_run04,run04,15,periodic_nd,1173|2561|2624|4076|4591,0.9855046203987082,0.439568010310109
20260419_190507_run04,run04,15,periodic_nd,1173|2561|2624|4143|4591,0.945194576637396,0.44787740276563565
20260419_190507_run04,run04,15,periodic_nd,1173|2561|3197|4143|4591,0.942989434265213,0.47261066837717175
20260419_190507_run04,run04,15,periodic_nd,1173|1853|2624|4076|4660,1.0504886636383561,0.4337533793760143
20260419_190507_run04,run04,20,periodic_nd,1173|1853|2624|4076|4591,1.0387244093529444,0.42436353411546635
20260419_190507_run04,run04,20,periodic_nd,1173|2624|2783|4069|4591,0.9278013261823177,0.4819483932466017
20260419_190507_run04,run04,20,periodic_nd,1173|2561|2624|4143|4591,0.945194576637396,0.44787740276563565
20260419_190507_run04,run04,20,periodic_nd,1173|2348|2624|4076|4591,0.9686715087082363,0.43971647509541195
