K,Lambda,PopSize,ArchiveSize,MaxGen,MutRate,CrossRate,FunctionEvals,Runtime_ms,ND_Count,Best_f1,Best_f2,Mean_f1,Mean_f2,Final_HV
3,0.60,200,100,149,0.10,0.70,30000,14121,10,1.370114,0.441068,1.602844,0.459712,0.998441
3,0.60,200,100,149,0.20,0.70,30000,14389,22,1.362719,0.441756,1.454061,0.466111,1.051316
3,0.60,200,100,149,0.20,0.70,30000,14536,19,1.363150,0.443010,1.398557,0.478600,1.090622
3,0.60,200,100,149,0.20,0.70,30000,14415,13,1.369886,0.442191,1.477570,0.463954,1.064906
3,0.60,200,100,149,0.30,0.70,30000,14933,28,1.370992,0.443911,1.425066,0.465961,1.059265
3,0.60,200,100,149,0.30,0.70,30000,14810,19,1.378435,0.443705,1.452781,0.455599,1.056318
3,0.60,200,100,149,0.30,0.70,30000,14920,23,1.360602,0.440352,1.560042,0.460905,1.080997
3,0.60,200,100,149,0.40,0.70,30000,15363,25,1.362672,0.441430,1.402607,0.470609,1.106203
3,0.60,200,100,149,0.40,0.70,30000,15264,38,1.358559,0.446197,1.396300,0.471028,1.092887
3,0.60,200,100,149,0.40,0.70,30000,15295,26,1.367783,0.441026,1.432790,0.460239,1.094023
3,0.60,200,100,149,0.05,0.90,30000,13830,20,1.374363,0.439995,1.593672,0.470578,0.895947
3,0.60,200,100,149,0.05,0.90,30000,13906,8,1.368130,0.448206,1.421665,0.477465,1.017443
