archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
84,1254|1347|1393|2986|3633|3996|4379|4801|4943|5311,0.8462120336780156,0.7843683518035566,1.0,1.0,97,6735,0.4890041859334897,6735.4890041859335
85,314|1233|1302|1459|1734|1765|3712|3789|4134|4602,0.9835103160121405,0.7227922502695049,1.0,1.0,76,6800,0.4871197949645332,6800.487119794964
86,242|681|1600|2935|3266|3439|4385|4803|4817|5026,1.0179681747253069,0.7217745962996897,1.0,1.0,63,6924,0.4855178364129269,6924.485517836413
87,596|669|973|1546|2414|2907|3624|3654|4714|5248,0.9062086166402777,0.7505488440079242,1.0,1.0,88,6952,0.4887765018882218,6952.488776501888
88,1032|1328|1920|2761|3066|4790|4947|5391|5603|5606,0.848428776879684,0.7995484120747678,1.0,1.0,93,7055,0.49003666843151716,7055.4900366684315
89,541|881|1467|1993|2632|2695|3731|3936|4365|5080,0.8797869552507801,0.7683914404744298,1.0,1.0,90,7085,0.48775346446000656,7085.48775346446
90,1030|1042|1397|1976|2541|2702|2982|3874|4230|4866,0.8286204751905945,0.8559300558903805,1.0,1.0,81,7124,0.4878153644437431,7124.487815364444
91,525|1549|1888|2426|2683|2850|3651|4083|4528|5524,0.8296945892979832,0.8370434693749027,1.0,1.0,83,7145,0.4900971054344608,7145.490097105435
92,532|671|952|2135|2348|2572|3706|4521|5388|5534,1.0136649670860065,0.7274360848857684,1.0,1.0,64,7355,0.48624785589442554,7355.486247855894
93,608|1445|1620|1628|3435|3915|4161|4424|4798|5088,0.8728458195452867,0.7938024864533844,1.0,1.0,89,7412,0.4881868124505393,7412.48818681245
94,887|2346|2405|3492|3561|3725|3789|4002|4939|5229,0.8510145051188612,0.8101592337430978,1.0,1.0,89,7492,0.49044945672763196,7492.490449456727
95,738|1167|1277|3117|4012|4085|4295|4599|4861|5383,1.2022084186462074,0.7288986016152634,1.0,1.0,32,7666,0.4763997208417073,7666.476399720842
96,680|954|1254|1516|1528|2418|3436|4293|4793|4817,0.8333715447537097,0.9382706401011148,1.0,1.0,57,7780,0.4815653688967917,7780.481565368897
97,397|452|1322|2571|2779|2913|2921|3430|3869|5891,1.1494685503712097,0.7324451190307797,1.0,1.0,37,7870,0.4811753900023269,7870.481175390002
98,524|2122|2207|2342|2498|2547|3564|4236|4442|5010,0.8566046087518264,0.8164141748461268,1.0,1.0,85,7983,0.49003060917998853,7983.49003060918
99,957|1557|1598|1633|1953|2417|2777|2926|3720|5098,1.0077967633148366,0.750741374052619,1.0,1.0,66,8010,0.4857147785573395,8010.485714778557
100,1468|1545|1844|1897|2335|2490|3639|3862|3940|5233,0.8412715661101009,0.9721033475122549,1.0,1.0,46,8017,0.4816244044105763,8017.4816244044105
